2024-10-29T20:32:06.764Z - Current memory usage: 50.65
2024-10-29T20:32:09.778Z - Current memory usage: 50.66
2024-10-29T20:32:12.793Z - Current memory usage: 50.65
2024-10-29T20:32:15.801Z - Current memory usage: 50.66
2024-10-29T20:32:18.815Z - Current memory usage: 50.66
2024-10-29T20:32:21.817Z - Current memory usage: 50.67
2024-10-29T20:32:24.818Z - Current memory usage: 50.66
2024-10-29T20:32:27.820Z - Current memory usage: 50.67
2024-10-29T20:32:30.820Z - Current memory usage: 50.59
2024-10-29T20:32:33.822Z - Current memory usage: 50.71
2024-10-29T20:32:36.837Z - Current memory usage: 50.62
2024-10-29T20:32:39.838Z - Current memory usage: 50.75
2024-10-29T20:32:42.844Z - Current memory usage: 50.45
2024-10-29T20:32:45.843Z - Current memory usage: 49.95
2024-10-29T20:32:48.854Z - Current memory usage: 49.88
2024-10-29T20:32:51.858Z - Current memory usage: 49.70
2024-10-29T20:32:54.865Z - Current memory usage: 49.63
2024-10-29T20:32:57.873Z - Current memory usage: 48.84
2024-10-29T20:33:00.876Z - Current memory usage: 48.81
2024-10-29T20:33:03.878Z - Current memory usage: 48.85
2024-10-29T20:33:06.879Z - Current memory usage: 48.95
2024-10-29T20:33:09.883Z - Current memory usage: 48.92
2024-10-29T20:33:12.888Z - Current memory usage: 48.99
2024-10-29T20:33:15.900Z - Current memory usage: 48.97
2024-10-29T20:33:18.908Z - Current memory usage: 48.96
2024-10-29T20:33:21.910Z - Current memory usage: 49.00
2024-10-29T20:33:24.909Z - Current memory usage: 48.95
2024-10-29T20:33:27.916Z - Current memory usage: 48.95
2024-10-29T20:33:30.929Z - Current memory usage: 49.00
2024-10-29T20:33:33.935Z - Current memory usage: 49.04
2024-10-29T20:33:36.949Z - Current memory usage: 49.04
2024-10-29T20:33:39.958Z - Current memory usage: 49.05
2024-10-29T20:33:42.962Z - Current memory usage: 49.22
2024-10-29T20:33:45.970Z - Current memory usage: 49.21
2024-10-29T20:33:48.981Z - Current memory usage: 49.13
2024-10-29T20:33:51.981Z - Current memory usage: 49.24
2024-10-29T20:33:54.992Z - Current memory usage: 49.20
2024-10-29T20:33:57.998Z - Current memory usage: 49.24
2024-10-29T20:34:01.009Z - Current memory usage: 49.32
2024-10-29T20:34:04.015Z - Current memory usage: 49.19
2024-10-29T20:34:07.021Z - Current memory usage: 49.26
2024-10-29T20:34:10.025Z - Current memory usage: 49.06
2024-10-29T20:34:13.031Z - Current memory usage: 48.85
2024-10-29T20:34:16.041Z - Current memory usage: 48.93
2024-10-29T20:34:19.042Z - Current memory usage: 48.91
2024-10-29T20:34:22.042Z - Current memory usage: 48.86
2024-10-29T20:34:25.047Z - Current memory usage: 48.66
2024-10-29T20:34:28.054Z - Current memory usage: 48.63
2024-10-29T20:34:31.055Z - Current memory usage: 48.75
2024-10-29T20:34:34.069Z - Current memory usage: 48.68
2024-10-29T20:34:37.071Z - Current memory usage: 48.64
2024-10-29T20:34:40.075Z - Current memory usage: 48.66
2024-10-29T20:34:43.078Z - Current memory usage: 48.62
2024-10-29T20:34:46.088Z - Current memory usage: 48.67
2024-10-29T20:34:49.091Z - Current memory usage: 48.43
2024-10-29T20:34:52.104Z - Current memory usage: 48.46
2024-10-29T20:34:55.107Z - Current memory usage: 48.42
2024-10-29T20:34:58.118Z - Current memory usage: 48.58
2024-10-29T20:35:01.130Z - Current memory usage: 48.53
2024-10-29T20:35:04.136Z - Current memory usage: 48.58
2024-10-29T20:35:07.150Z - Current memory usage: 48.49
2024-10-29T20:35:10.164Z - Current memory usage: 48.61
2024-10-29T20:35:13.178Z - Current memory usage: 48.64
2024-10-29T20:35:16.191Z - Current memory usage: 48.64
2024-10-29T20:35:19.193Z - Current memory usage: 48.63
2024-10-29T20:35:22.201Z - Current memory usage: 48.61
2024-10-29T20:35:25.217Z - Current memory usage: 48.46
2024-10-29T20:35:28.218Z - Current memory usage: 47.60
2024-10-29T20:35:31.221Z - Current memory usage: 47.42
2024-10-29T20:35:34.233Z - Current memory usage: 46.59
2024-10-29T20:35:37.236Z - Current memory usage: 46.35
2024-10-29T20:35:40.246Z - Current memory usage: 46.19
2024-10-29T20:35:43.260Z - Current memory usage: 45.97
2024-10-29T20:35:46.260Z - Current memory usage: 45.71
2024-10-29T20:35:49.268Z - Current memory usage: 45.62
2024-10-29T20:35:52.268Z - Current memory usage: 45.69
2024-10-29T20:35:55.272Z - Current memory usage: 45.74
2024-10-29T20:35:58.285Z - Current memory usage: 45.85
2024-10-29T20:36:01.298Z - Current memory usage: 45.80
2024-10-29T20:36:04.312Z - Current memory usage: 45.87
2024-10-29T20:36:07.322Z - Current memory usage: 45.87
2024-10-29T20:36:10.335Z - Current memory usage: 45.84
2024-10-29T20:36:13.348Z - Current memory usage: 45.89
2024-10-29T20:36:16.363Z - Current memory usage: 45.96
2024-10-29T20:36:19.374Z - Current memory usage: 45.91
2024-10-29T20:36:22.378Z - Current memory usage: 45.90
2024-10-29T20:36:25.379Z - Current memory usage: 47.12
2024-10-29T20:36:28.386Z - Current memory usage: 47.19
2024-10-29T20:36:31.389Z - Current memory usage: 47.18
2024-10-29T20:36:34.402Z - Current memory usage: 47.18
2024-10-29T20:36:37.408Z - Current memory usage: 47.13
2024-10-29T20:36:40.413Z - Current memory usage: 47.13
2024-10-29T20:36:43.419Z - Current memory usage: 47.13
2024-10-29T20:36:46.421Z - Current memory usage: 47.28
2024-10-29T20:36:49.427Z - Current memory usage: 47.22
2024-10-29T20:36:52.434Z - Current memory usage: 47.24
2024-10-29T20:36:55.439Z - Current memory usage: 47.25
2024-10-29T20:36:58.453Z - Current memory usage: 47.33
2024-10-29T20:37:01.459Z - Current memory usage: 47.20
2024-10-29T20:37:04.471Z - Current memory usage: 47.12
2024-10-29T20:37:07.472Z - Current memory usage: 47.30
2024-10-29T20:37:10.477Z - Current memory usage: 47.19
2024-10-29T20:37:13.478Z - Current memory usage: 47.19
2024-10-29T20:37:16.490Z - Current memory usage: 47.25
2024-10-29T20:37:19.494Z - Current memory usage: 48.57
2024-10-29T20:37:22.496Z - Current memory usage: 48.78
2024-10-29T20:37:25.499Z - Current memory usage: 48.50
2024-10-29T20:37:28.501Z - Current memory usage: 48.37
2024-10-29T20:37:31.509Z - Current memory usage: 48.37
2024-10-29T20:37:34.524Z - Current memory usage: 48.52
2024-10-29T20:37:37.536Z - Current memory usage: 48.57
2024-10-29T20:37:40.551Z - Current memory usage: 48.55
2024-10-29T20:37:43.563Z - Current memory usage: 48.54
2024-10-29T20:37:46.569Z - Current memory usage: 49.84
2024-10-29T20:37:49.578Z - Current memory usage: 49.77
2024-10-29T20:37:52.579Z - Current memory usage: 49.74
2024-10-29T20:37:55.593Z - Current memory usage: 49.73
2024-10-29T20:37:58.599Z - Current memory usage: 49.81
2024-10-29T20:38:01.615Z - Current memory usage: 49.82
2024-10-29T20:38:04.628Z - Current memory usage: 49.87
2024-10-29T20:38:07.635Z - Current memory usage: 49.70
2024-10-29T20:38:10.644Z - Current memory usage: 49.55
2024-10-29T20:38:13.650Z - Current memory usage: 49.54
2024-10-29T20:38:16.654Z - Current memory usage: 49.55
2024-10-29T20:38:19.662Z - Current memory usage: 49.64
2024-10-29T20:38:22.677Z - Current memory usage: 49.69
2024-10-29T20:38:25.682Z - Current memory usage: 49.70
2024-10-29T20:38:28.682Z - Current memory usage: 49.64
2024-10-29T20:38:31.697Z - Current memory usage: 49.37
2024-10-29T20:38:34.127Z - Application started
2024-10-29T20:38:34.128Z - Application event occured 
2024-10-29T20:38:37.129Z - Current memory usage: 49.55
